id,task,day,employee,complexity,clarity,time,train
id81,a,b,h,0.86,0.339,,0
id82,c,e,i,0.29,0.68,249.125,1
id83,h,a,j,0.469,0.627,,0
id84,f,e,f,0.29,0.555,250.031,1
id85,d,a,i,0.326,0.538,208.287,1
id86,f,c,d,0.796,0.174,,0
id87,b,c,a,0.566,0.55,402.354,1
id88,a,b,f,0.188,0.52,,0
id89,h,d,e,0.093,0.392,264.522,1
id90,a,d,d,0.717,0.419,322.276,1
id91,d,c,c,0.606,0.381,229.93,1
id92,a,e,f,0.278,0.484,,0
id93,h,c,g,0.282,0.486,243.035,1
id94,f,c,g,0.292,0.629,256.409,1
id95,f,d,c,0.155,0.421,177.801,1
id96,f,e,g,0.534,0.541,,0
id97,b,c,c,0.316,0.566,365.613,1
id98,f,b,e,0.92,0.457,,0
id99,a,b,f,0.449,0.491,,0
id100,b,c,g,0.482,0.462,,0
id101,g,b,i,0.763,0.364,,0
id102,c,e,h,0.322,0.526,203.532,1
id103,e,d,d,0.642,0.396,,0
id104,h,e,i,0.548,0.438,,0
id105,d,a,i,0.197,0.615,,0
id106,d,c,b,0.504,0.542,222.544,1
id107,f,c,b,0.652,0.355,,0
id108,h,e,i,0.408,0.459,,0
id109,f,b,b,0.769,0.334,,0
id110,b,b,f,0.156,0.525,,0
id111,h,e,j,0.615,0.525,,0
id112,f,c,i,0.546,0.54,,0
id113,e,e,d,0.513,0.635,175.038,1
id114,b,d,c,0.388,0.473,,0
id115,c,e,h,0.153,0.447,203.618,1
id116,f,d,e,0.285,0.65,,0
id117,c,e,f,0.169,0.51,,0
id118,e,b,h,0.585,0.442,254.616,1
id119,e,c,b,0.568,0.362,,0
id120,f,d,g,0.341,0.511,218.842,1
id121,a,b,j,0.537,0.494,,0
id122,g,c,c,0.224,0.567,158.728,1
id123,b,e,i,0.542,0.275,,0
id124,d,c,f,0.47,0.444,282.489,1
id125,e,d,i,0.882,0.407,256.48,1
id126,c,d,g,0.415,0.643,,0
id127,c,b,f,0.108,0.624,189.972,1
id128,d,b,f,0.66,0.611,259.903,1
id129,d,d,f,0.768,0.441,312.694,1
id130,c,c,j,0.176,0.539,207.701,1
id131,b,a,f,0.365,0.389,495.689,1
id132,f,e,c,0.699,0.417,,0
id133,d,d,j,0.913,0.234,270.113,1
id134,a,b,d,0.444,0.606,229.301,1
id135,d,c,e,0.405,0.658,,0
id136,g,e,j,0.864,0.33,,0
id137,e,d,c,0.735,0.443,251.524,1
id138,h,c,b,0.441,0.484,,0
id139,e,a,j,0.944,0.73,,0
id140,d,b,e,0.564,0.399,,0
id141,a,b,a,0.877,0.318,,0
id142,b,a,f,0.826,0.258,310.542,1
id143,e,e,c,0.421,0.478,359.672,1
id144,h,e,j,0.3,0.505,,0
id145,g,b,i,0.047,0.611,,0
id146,h,a,a,0.451,0.371,,0
id147,a,d,g,0.973,0.507,333.368,1
id148,e,c,e,0.821,0.33,,0
id149,c,d,d,0.077,0.632,93.982,1
id150,b,e,i,0.154,0.687,,0
id151,g,b,j,0.359,0.472,,0
id152,f,b,a,0.652,0.491,,0
id153,a,d,a,0.624,0.422,,0
id154,d,d,b,0.825,0.369,328.909,1
id155,a,d,c,0.85,0.438,,0
id156,d,a,f,0.756,0.505,329.732,1
id157,b,c,g,0.426,0.632,,0
id158,d,e,b,0.619,0.296,404.882,1
id159,a,c,c,0.3,0.33,,0
id160,e,b,f,0.261,0.725,213.826,1
id161,c,b,h,0.354,0.385,112.925,1
id162,e,b,b,0.623,0.269,216.582,1
id163,g,a,c,0.256,0.36,,0
id164,h,c,f,0.019,0.62,137.216,1
id165,e,b,j,0.185,0.604,274.507,1
id166,e,d,j,0.725,0.424,257.718,1
id167,h,a,j,0.061,0.584,297.261,1
id168,c,e,f,0.132,0.683,,0
id169,c,b,e,0.247,0.518,,0
id170,a,b,h,0.149,0.55,187.31,1
id171,e,b,d,0.499,0.444,290.696,1
id172,g,b,c,0.456,0.578,,0
id173,b,e,g,0.439,0.365,,0
id174,f,d,a,0.729,0.589,,0
id175,a,d,i,0.195,0.582,,0
id176,b,a,d,0.46,0.687,271.555,1
id177,e,b,j,0.222,0.375,,0
id178,b,b,i,0.518,0.522,,0
id179,b,c,c,0.314,0.537,,0
id180,d,d,d,0.656,0.435,,0
id181,h,a,d,0.055,0.585,,0
id182,b,d,i,0.183,0.527,,0
id183,g,b,f,0.116,0.493,333.118,1
id184,d,c,i,0.393,0.567,150.672,1
id185,f,d,i,0.95,0.497,,0
id186,f,c,d,0.436,0.541,,0
id187,d,b,a,0.695,0.452,,0
id188,g,c,j,0.399,0.576,225.312,1
id189,g,b,j,0.463,0.51,,0
id190,b,c,h,0.096,0.524,,0
id191,g,a,d,0.335,0.52,,0
id192,a,e,h,0.885,0.386,,0
id193,e,c,d,0.314,0.671,,0
id194,f,c,j,0.294,0.492,270.069,1
id195,g,b,h,0.295,0.425,311.45,1
id196,a,d,b,0.615,0.509,,0
id197,f,e,a,0.782,0.563,298.363,1
id198,e,e,g,0.523,0.331,,0
id199,g,d,j,0.448,0.48,,0
id200,h,a,g,0.405,0.528,249.676,1
id201,a,a,e,0.911,0.448,,0
id202,h,b,b,0.401,0.601,,0
id203,f,a,e,0.246,0.604,161.754,1
id204,c,e,b,0.291,0.402,235.757,1
id205,a,b,i,0.419,0.365,401.811,1
id206,d,a,e,0.467,0.616,213.254,1
id207,b,e,j,0.711,0.33,259.722,1
id208,g,d,g,0.579,0.351,,0
id209,b,a,b,0.264,0.359,435.22,1
id210,b,a,f,0.347,0.625,241.652,1
id211,g,a,d,0.582,0.423,,0
id212,g,b,c,0.506,0.332,350.946,1
id213,h,b,j,0.548,0.565,,0
id214,h,e,a,0.164,0.532,173.313,1
id215,a,a,i,0.594,0.634,236.706,1
id216,b,c,a,0.54,0.41,,0
id217,c,e,c,0.057,0.562,137.447,1
id218,b,a,e,0.907,0.343,229.315,1
id219,g,a,f,0.223,0.505,,0
id220,f,a,c,0.518,0.507,238.343,1
id221,f,a,j,0.195,0.678,269.27,1
id222,d,e,c,0.954,0.125,275.433,1
id223,b,a,d,0.851,0.431,,0
id224,d,b,f,0.579,0.508,,0
id225,h,d,c,0.277,0.542,,0
id226,g,d,j,0.437,0.531,317.868,1
id227,d,b,d,0.229,0.355,218.39,1
id228,a,c,d,0.768,0.329,190.524,1
id229,h,e,f,0.455,0.476,,0
id230,f,b,b,0.777,0.413,240.67,1
id231,h,d,c,0.236,0.397,,0
id232,a,e,j,0.501,0.48,221.596,1
id233,c,c,f,0.089,0.684,,0
id234,a,c,g,0.712,0.22,,0
id235,c,a,g,0.25,0.581,,0
id236,f,b,d,0.6,0.546,213.909,1
id237,g,d,b,0.136,0.633,242.342,1
id238,h,a,j,0.203,0.656,283.79,1
id239,f,e,a,0.304,0.605,235.077,1
id240,h,a,b,0.452,0.443,202.356,1
id241,c,d,b,0.414,0.383,193.76,1
id242,d,c,g,0.604,0.665,224.835,1
id243,a,d,e,0.289,0.702,191.951,1
id244,d,a,h,0.61,0.578,,0
id245,a,c,i,0.306,0.405,,0
id246,b,b,d,0.352,0.331,,0
id247,c,c,a,0.195,0.484,286.659,1
id248,g,b,d,0.391,0.418,450.568,1
id249,b,d,e,0.295,0.761,,0
id250,h,b,h,0.078,0.5,,0
id251,e,c,a,0.685,0.326,,0
id252,c,e,e,0.263,0.633,,0
id253,f,e,h,0.816,0.317,295.295,1
id254,f,c,d,0.79,0.438,181.863,1
id255,d,d,e,0.811,0.353,392.679,1
id256,h,c,g,0.278,0.569,228.287,1
id257,g,b,e,0.666,0.481,197.959,1
id258,d,b,a,0.414,0.549,275.093,1
id259,a,e,j,0.945,0.211,333.034,1
id260,c,d,d,0.482,0.58,,0
id261,d,c,h,0.912,0.196,,0
id262,a,a,c,0.874,0.281,261.125,1
id263,g,e,f,0.578,0.433,,0
id264,d,c,j,0.423,0.68,,0
id265,h,c,d,0.344,0.422,195.11,1
id266,c,c,h,0.124,0.563,128.674,1
id267,b,a,e,0.276,0.486,230.887,1
id268,d,e,b,0.769,0.604,312.248,1
id269,d,e,c,0.907,0.401,277.1,1
id270,e,d,e,0.247,0.374,120.85,1
id271,g,c,i,0.337,0.57,,0
id272,e,e,d,0.142,0.394,,0
id273,g,e,g,0.445,0.318,410.717,1
id274,g,d,d,0.527,0.63,172.637,1
id275,h,a,g,0.229,0.633,,0
id276,a,e,d,0.8,0.286,247.049,1
id277,g,e,h,0.213,0.531,,0
id278,d,e,g,0.477,0.399,185.248,1
id279,b,d,c,0.31,0.644,292.999,1
id280,c,d,h,0.62,0.53,,0
id281,c,c,d,0.241,0.533,107.444,1
id282,f,d,i,0.744,0.455,254.457,1
id283,d,c,j,0.262,0.492,439.446,1
id284,g,b,f,0.263,0.542,246.605,1
id285,d,b,c,0.85,0.345,378.095,1
id286,g,d,i,0.457,0.56,,0
id287,h,a,d,0.45,0.566,,0
id288,b,e,d,0.457,0.601,467.505,1
id289,d,d,f,0.606,0.385,,0
id290,d,c,a,0.927,0.384,274.663,1
id291,h,e,j,0.389,0.409,,0
id292,a,e,h,0.066,0.426,,0
id293,g,c,c,0.629,0.315,,0
id294,h,d,g,0.232,0.626,,0
id295,g,d,a,0.663,0.32,378.116,1
id296,g,a,g,0.39,0.491,461.246,1
id297,b,e,a,0.474,0.439,455.734,1
id298,a,d,c,0.312,0.589,,0
id299,b,c,f,0.096,0.539,212.64,1
id300,h,d,d,0.557,0.432,271.376,1
id301,g,c,j,0.737,0.425,,0
id302,h,d,h,0.614,0.69,,0
id303,f,e,h,0.419,0.632,164.233,1
id304,h,e,c,0.307,0.661,256.801,1
id305,a,c,e,0.418,0.569,,0
id306,h,c,i,0.56,0.358,271.905,1
id307,e,e,h,0.117,0.5,441.155,1
id308,c,a,h,0.279,0.477,,0
id309,a,b,i,0.266,0.508,,0
id310,d,a,j,0.622,0.374,209.975,1
id311,e,a,g,0.848,0.549,272.605,1
id312,g,e,i,0.613,0.565,,0
id313,h,e,g,0.43,0.428,406.02,1
id314,d,d,a,0.487,0.465,,0
id315,f,b,e,0.505,0.645,,0
id316,d,e,j,0.829,0.301,,0
id317,b,b,e,0.221,0.576,228.248,1
id318,c,c,b,0.257,0.319,,0
id319,b,b,c,0.59,0.518,,0
id320,c,c,f,0.313,0.574,,0
id321,a,d,b,0.675,0.468,251.586,1
id322,h,b,b,0.091,0.432,,0
id323,a,c,e,0.185,0.517,,0
id324,d,b,g,0.577,0.475,342.523,1
id325,f,e,f,0.81,0.44,221.748,1
id326,e,a,c,0.406,0.5,,0
id327,b,e,c,0.388,0.553,427.968,1
id328,e,b,c,0.667,0.513,,0
id329,h,d,e,0.299,0.513,,0
id330,e,a,j,0.659,0.539,388.978,1
id331,e,e,j,0.377,0.293,,0
id332,f,b,g,0.921,0.603,213.955,1
id333,h,c,e,0.073,0.565,,0
id334,c,c,e,0.371,0.55,109.956,1
id335,f,c,b,0.891,0.458,,0
id336,d,d,j,0.307,0.647,280.657,1
id337,f,b,f,0.701,0.237,227.939,1
id338,d,b,c,0.044,0.708,330.149,1
id339,b,c,d,0.603,0.52,,0
id340,c,c,i,0.356,0.301,239.534,1
id341,a,d,e,0.199,0.728,,0
id342,b,c,g,0.586,0.588,,0
id343,h,e,c,0.348,0.428,,0
id344,h,a,c,0.131,0.532,,0
id345,d,a,i,0.263,0.465,180.041,1
id346,d,d,b,0.534,0.383,277.152,1
id347,e,d,d,0.474,0.528,360.662,1
id348,c,c,d,0.088,0.623,121.07,1
id349,h,b,e,0.298,0.538,165.737,1
id350,g,c,j,0.949,0.317,428.378,1
id351,h,b,e,0.264,0.535,,0
id352,b,e,j,0.743,0.444,290.433,1
id353,d,d,j,0.67,0.395,382.563,1
id354,b,b,e,0.441,0.484,,0
id355,d,a,c,0.105,0.511,,0
id356,f,d,f,0.898,0.609,261.044,1
id357,b,e,a,0.711,0.488,,0
id358,a,e,j,0.561,0.516,,0
id359,e,e,a,0.431,0.563,205.18,1
id360,e,d,a,0.852,0.436,,0
id361,g,d,f,0.458,0.516,247.014,1
id362,h,e,e,0.375,0.56,273.526,1
id363,b,e,g,0.482,0.594,235.726,1
id364,f,c,c,0.654,0.592,222.962,1
id365,b,e,e,0.239,0.543,,0
id366,c,d,c,0.411,0.641,164.845,1
id367,c,d,b,0.252,0.409,180.821,1
id368,g,d,b,0.714,0.337,395.351,1
id369,e,d,g,0.469,0.565,219.171,1
id370,b,d,j,0.266,0.537,,0
id371,h,a,d,0.731,0.691,215.934,1
id372,f,e,d,0.945,0.253,235.758,1
id373,h,a,c,0.344,0.543,,0
id374,d,e,a,0.366,0.307,286.158,1
id375,d,c,i,0.688,0.43,239.773,1
id376,e,a,a,0.569,0.456,205.007,1
id377,c,e,j,0.338,0.37,314.114,1
id378,a,e,i,0.398,0.301,322.602,1
id379,c,c,g,0.092,0.542,163.561,1
id380,d,d,f,0.64,0.536,,0
id381,g,d,g,0.609,0.441,,0
id382,b,e,c,0.28,0.57,325.419,1
id383,a,c,b,0.496,0.739,173.286,1
id384,c,b,i,0.186,0.605,125.372,1
id385,c,e,i,0.25,0.547,182.815,1
id386,d,d,c,0.686,0.523,265.836,1
id387,a,b,c,0.541,0.605,383.094,1
id388,e,c,f,0.241,0.608,213.514,1
id389,e,d,d,0.231,0.627,,0
id390,e,e,b,0.661,0.427,182.245,1
id391,e,e,c,0.695,0.598,161.49,1
id392,g,a,i,0.454,0.508,,0
id393,f,b,a,0.762,0.352,242.464,1
id394,a,d,i,0.408,0.269,415.334,1
id395,f,b,j,0.759,0.445,216.613,1
id396,b,b,g,0.592,0.425,,0
id397,c,e,d,0.305,0.465,,0
id398,g,a,h,0.386,0.631,201.14,1
id399,b,a,c,0.536,0.669,355.551,1
id400,e,b,c,0.744,0.442,199.304,1
id401,a,e,g,0.622,0.556,,0
id402,f,d,i,0.796,0.514,246.166,1
id403,f,e,g,0.407,0.686,,0
id404,f,b,i,0.536,0.596,284.988,1
id405,g,d,c,0.433,0.315,309.367,1
id406,c,d,f,0.128,0.601,,0
id407,f,a,h,0.21,0.551,139.996,1
id408,e,c,c,0.623,0.337,198.097,1
id409,g,d,h,0.299,0.47,,0
id410,c,d,j,0.473,0.38,,0
id411,h,d,h,0.675,0.244,308.262,1
id412,c,d,f,0.404,0.654,174.664,1
id413,f,e,h,0.53,0.46,278.672,1
id414,h,d,j,0.155,0.517,390.716,1
id415,b,c,d,0.701,0.533,354.906,1
id416,b,d,a,0.516,0.461,328.726,1
id417,g,e,e,0.213,0.411,,0
id418,f,d,b,0.563,0.522,,0
id419,f,d,h,0.807,0.434,288.1,1
id420,e,e,j,0.75,0.491,238.456,1
id421,d,d,j,0.613,0.329,,0
id422,f,c,h,0.23,0.601,,0
id423,g,a,e,0.685,0.386,300.906,1
id424,b,c,h,0.582,0.434,,0
id425,h,c,h,0.305,0.667,200.3,1
id426,f,b,f,0.661,0.601,404.846,1
id427,f,c,d,0.979,0.394,252.334,1
id428,c,c,f,0.074,0.427,150.064,1
id429,a,a,e,0.639,0.505,,0
id430,e,e,j,0.251,0.529,199.956,1
id431,c,b,i,0.376,0.507,144.444,1
id432,e,c,g,0.045,0.548,,0
id433,e,e,d,0.424,0.45,144.836,1
id434,a,a,e,0.633,0.398,264.167,1
id435,c,a,j,0.481,0.501,207.378,1
id436,f,d,e,0.382,0.51,260.836,1
id437,b,d,h,0.425,0.396,,0
id438,f,e,c,0.426,0.39,,0
id439,e,d,j,0.445,0.418,,0
id440,a,a,h,0.834,0.444,229.149,1
id441,e,e,g,0.463,0.358,346.929,1
id442,d,d,a,0.831,0.463,296.359,1
id443,e,d,a,0.745,0.449,281.289,1
id444,b,a,b,0.56,0.512,,0
id445,f,d,f,0.427,0.65,,0
id446,h,b,e,0.344,0.673,177.372,1
id447,f,d,j,0.359,0.605,,0
id448,b,c,d,0.292,0.65,370.535,1
id449,b,d,c,0.196,0.653,,0
id450,f,d,e,0.711,0.577,,0
id451,b,d,e,0.532,0.351,204.737,1
id452,b,e,b,0.646,0.442,,0
id453,c,c,d,0.238,0.504,,0
id454,g,a,g,0.76,0.466,,0
id455,b,e,a,0.566,0.388,462.926,1
id456,h,e,c,0.227,0.688,211.843,1
id457,d,c,b,0.572,0.779,293.469,1
id458,c,c,g,0.29,0.426,,0
id459,b,e,b,0.38,0.46,,0
id460,e,b,b,0.697,0.527,285.784,1
id461,c,d,j,0.333,0.474,167.332,1
id462,b,d,f,0.257,0.736,401.062,1
id463,a,b,j,0.339,0.644,,0
id464,b,d,b,0.297,0.357,,0
id465,e,b,c,0.46,0.399,252.208,1
id466,a,a,f,0.602,0.283,,0
id467,c,a,a,0.191,0.419,,0
id468,c,a,f,0.345,0.447,204.169,1
id469,h,e,b,0.38,0.501,,0
id470,e,d,d,0.982,0.607,196.085,1
id471,e,d,d,0.533,0.233,162.429,1
id472,d,d,f,0.473,0.691,226.049,1
id473,a,d,g,0.304,0.457,222.007,1
id474,c,e,e,0.697,0.731,118.817,1
id475,h,b,b,0.221,0.565,,0
id476,c,e,i,0.158,0.48,116.595,1
id477,a,a,c,0.367,0.636,,0
id478,f,a,e,0.214,0.531,203.665,1
id479,g,d,i,0.162,0.558,356.33,1
id480,g,e,d,0.432,0.403,189.052,1
id481,b,b,a,0.222,0.569,,0
id482,d,e,j,0.846,0.567,,0
id483,e,b,e,0.954,0.454,,0
id484,c,c,h,0.188,0.634,,0
id485,c,d,h,0.061,0.7,181.786,1
id486,e,b,e,0.264,0.663,,0
id487,c,d,j,0.081,0.777,,0
id488,a,e,f,0.901,0.482,417.049,1
id489,a,c,i,0.479,0.62,311.7,1
id490,a,b,h,0.229,0.785,204.302,1
id491,g,d,i,0.731,0.411,268.245,1
id492,c,b,e,0.432,0.443,,0
id493,d,b,g,0.217,0.473,,0
id494,g,c,d,0.144,0.485,192.344,1
id495,e,b,e,0.404,0.37,,0
id496,a,b,d,0.447,0.62,206.428,1
id497,a,b,j,0.237,0.471,,0
id498,c,a,d,0.022,0.535,115.886,1
id499,f,d,e,0.908,0.322,316.536,1
id500,e,b,a,0.484,0.329,,0
id501,d,e,c,0.832,0.529,,0
id502,f,b,c,0.654,0.607,277.381,1
id503,d,a,g,0.691,0.472,,0
id504,d,b,e,0.483,0.419,,0
id505,b,e,d,0.562,0.562,291.891,1
id506,c,a,f,0.462,0.424,,0
id507,g,e,i,0.502,0.404,207.938,1
id508,f,e,a,0.555,0.48,255.409,1
id509,f,b,e,0.735,0.394,,0
id510,h,c,j,0.555,0.633,339.58,1
id511,a,a,a,0.247,0.509,134.733,1
id512,d,d,j,0.239,0.47,,0
id513,g,d,h,0.519,0.504,,0
id514,f,a,d,0.88,0.42,,0
id515,g,e,f,0.274,0.373,235.663,1
id516,a,e,g,0.838,0.289,366.583,1
id517,b,d,j,0.474,0.569,218.298,1
id518,f,b,j,0.115,0.416,,0
id519,c,b,f,0.137,0.672,164.257,1
id520,b,d,j,0.404,0.447,341.269,1
id521,f,b,i,0.883,0.439,198.731,1
id522,f,e,h,0.833,0.374,289.31,1
id523,b,b,i,0.418,0.46,298.991,1
id524,c,b,b,0.25,0.648,,0
id525,g,d,d,0.313,0.431,,0
id526,f,c,h,0.615,0.486,,0
id527,b,c,e,0.317,0.378,,0
id528,g,e,a,0.52,0.571,,0
id529,d,e,g,0.916,0.511,251.963,1
id530,b,e,f,0.22,0.38,,0
id531,a,a,f,0.46,0.482,283.054,1
id532,h,e,g,0.342,0.461,,0
id533,g,e,c,0.749,0.534,,0
id534,a,a,b,0.868,0.488,,0
id535,f,e,f,0.655,0.386,,0
id536,b,d,h,0.688,0.468,,0
id537,g,c,j,0.318,0.673,,0
id538,d,a,h,0.668,0.37,,0
id539,d,a,f,0.737,0.53,250.012,1
id540,g,e,j,0.311,0.569,247.145,1
id541,b,d,b,0.705,0.394,416.598,1
id542,a,e,d,0.968,0.563,346.059,1
id543,h,d,a,0.222,0.547,283.062,1
id544,d,a,i,0.547,0.496,229.428,1
id545,a,b,g,0.543,0.513,,0
id546,b,d,b,0.156,0.594,,0
id547,e,d,c,0.362,0.484,246.851,1
id548,f,a,f,0.768,0.687,288.539,1
id549,b,a,f,0.549,0.474,,0
id550,f,d,f,0.567,0.436,137.278,1
id551,c,d,f,0.222,0.698,184.093,1
id552,c,a,h,0.051,0.578,171.037,1
id553,c,c,g,0.122,0.433,110.288,1
id554,g,b,i,0.442,0.489,,0
id555,g,d,h,0.575,0.579,,0
id556,g,d,a,0.175,0.574,252.492,1
id557,d,d,f,0.465,0.436,283.798,1
id558,g,b,a,0.478,0.616,,0
id559,c,c,g,0.558,0.506,,0
id560,f,c,c,0.833,0.312,204.629,1
id561,e,a,i,0.195,0.482,353.446,1
id562,e,d,i,0.252,0.658,244.099,1
id563,b,b,c,0.313,0.641,,0
id564,f,a,a,0.962,0.269,,0
id565,f,d,f,0.133,0.451,181.651,1
id566,g,a,g,0.343,0.599,,0
id567,g,d,a,0.954,0.415,,0
id568,b,e,d,0.504,0.372,,0
id569,a,d,e,0.734,0.566,,0
id570,b,a,e,0.234,0.461,205.357,1
id571,b,d,d,0.846,0.415,,0
id572,e,d,j,0.769,0.279,265.994,1
id573,h,c,f,0.237,0.429,,0
id574,h,c,b,0.271,0.404,278.117,1
id575,a,a,g,0.268,0.434,207.349,1
id576,h,b,b,0.303,0.753,309.875,1
id577,f,b,i,0.643,0.488,203.663,1
id578,a,e,e,0.335,0.505,259.163,1
id579,e,a,f,0.84,0.305,273.909,1
id580,a,d,d,0.549,0.423,,0
id581,d,e,h,0.637,0.654,255.501,1
id582,d,b,j,0.948,0.58,,0
id583,a,a,b,0.065,0.563,,0
id584,c,b,d,0.09,0.683,166.222,1
id585,a,e,j,0.368,0.326,240.032,1
id586,a,e,a,0.673,0.51,,0
id587,h,c,d,0.326,0.754,248.983,1
id588,b,a,d,0.882,0.602,257.724,1
id589,h,a,c,0.084,0.549,,0
id590,c,e,g,0.132,0.508,,0
id591,g,b,h,0.342,0.479,,0
id592,d,b,d,0.57,0.389,222.849,1
id593,c,e,j,0.486,0.591,226.247,1
id594,a,a,j,0.533,0.438,,0
id595,g,b,g,0.273,0.348,,0
id596,a,b,j,0.338,0.411,,0
id597,h,c,i,0.413,0.491,197.26,1
id598,e,c,a,0.445,0.581,,0
id599,b,b,i,0.456,0.5,189.984,1
id600,b,c,a,0.337,0.52,,0
id601,a,e,e,0.499,0.397,255.334,1
id602,b,e,g,0.546,0.425,,0
id603,c,a,h,0.261,0.512,,0
id604,e,e,f,0.188,0.472,,0
id605,e,d,j,0.453,0.498,,0
id606,c,e,e,0.451,0.459,205.987,1
id607,g,a,j,0.488,0.488,,0
id608,h,e,h,0.367,0.558,198.926,1
id609,f,e,d,0.489,0.473,,0
id610,b,c,c,0.091,0.545,,0
id611,b,b,j,0.659,0.388,301.166,1
id612,g,a,j,0.62,0.483,295.041,1
id613,b,a,c,0.539,0.52,,0
id614,f,b,a,0.828,0.432,217.593,1
id615,g,e,c,0.498,0.57,,0
id616,a,b,f,0.875,0.516,268.453,1
id617,f,a,f,0.238,0.368,152.064,1
id618,a,b,f,0.316,0.423,241.668,1
id619,g,a,j,0.486,0.543,288.863,1
id620,f,a,j,0.644,0.582,,0
id621,f,c,d,0.686,0.511,,0
id622,c,d,i,0.295,0.572,,0
id623,h,a,h,0.307,0.494,,0
id624,d,a,d,0.798,0.234,224.301,1
id625,e,d,i,0.84,0.542,294.613,1
id626,d,d,f,0.705,0.467,,0
id627,a,b,h,0.836,0.544,,0
id628,b,b,b,0.877,0.468,279.918,1
id629,h,e,e,0.233,0.34,185.82,1
id630,d,b,c,0.483,0.462,,0
id631,a,b,f,0.06,0.775,236.043,1
id632,b,c,g,0.198,0.453,,0
id633,e,e,a,0.549,0.51,,0
id634,h,b,e,0.45,0.371,,0
id635,a,c,a,0.786,0.389,361.18,1
id636,e,d,c,0.845,0.3,,0
id637,f,d,j,0.754,0.446,,0
id638,h,e,a,0.139,0.668,222.384,1
id639,d,e,h,0.669,0.346,,0
id640,b,a,e,0.272,0.747,,0
id641,c,c,g,0.05,0.684,192.67,1
id642,f,e,e,0.81,0.384,,0
id643,a,e,h,0.193,0.682,,0
id644,h,c,i,0.171,0.64,155.683,1
id645,g,e,j,0.507,0.266,279.355,1
